Touch of Evil, 1958, Universal Pictures, 22, 99, 99, 8.4, ['Akim Tamiroff', 'Charlton Heston', 'Dennis Weaver', 'Janet Leigh', 'Joanna Moore', 'Joseph Calleia', 'Mort Mills', 'Orson Welles', 'Ray Collins', 'Valentin de Vargas'], [], This film noir portrait of corruption and morally-compromised obsessions stars Welles as Hank Quinlan, a crooked police chief who frames a Mexican youth as part of an intricate criminal plot. Charlton Heston plays an honorable Mexican narcotics investigator who clashes with the bigoted Quinlan after probing into his dark past. A memorable… Expand, Orson Welles, ['Drama', 'Thriller', 'Crime', 'Film-Noir'],  PG-13,  95
Au hasard Balthazar, 1966, Cinema Ventures, 20, 98, 122, 7.1, ['Anne Wiazemsky', 'François Lafarge', 'Guy Renault', 'Jean-Claude Guilbert', 'Jean-Joël Barbier', 'Marie-Claire Fremont', 'Nathalie Joyaut', 'Philippe Asselin', 'Pierre Klossowski', 'Walter Green'], [], Robert Bresson's 1966 film focuses on the story of the donkey Balthazar and the people around him., Robert Bresson, ['Drama', 'Crime'],  Not Rated,  95
The Lady Vanishes, 1938, Metro-Goldwyn-Mayer (MGM), 17, 98, 16, 8.1, ['Basil Radford', 'Cecil Parker', 'Dame May Whitty', 'Emile Boreo', 'Linden Travers', 'Margaret Lockwood', 'Mary Clare', 'Michael Redgrave', 'Naunton Wayne', 'Paul Lukas'], [], While travelling in continental Europe, a rich young playgirl realizes that an elderly lady seems to have disappeared from the train., Alfred Hitchcock, ['Mystery', 'Thriller'],  Approved,  96
The Treasure of the Sierra Madre, 1948, Warner Bros., 10, 98, 126, 8.1, ['Alfonso Bedoya', 'Arturo Soto Rangel', 'Barton MacLane', 'Bruce Bennett', 'Humphrey Bogart', 'José Torvay', 'Manuel Dondé', 'Margarito Luna', 'Tim Holt', 'Walter Huston'], [], Fred Dobbs and Bob Curtin, two Americans searching for work in Mexico, convince an old prospector to help them mine for gold in the Sierra Madre Mountains., John Huston, ['Adventure', 'Drama', 'Western'],  TV-PG,  126
Pan's Labyrinth, 2006, Picturehouse, 37, 98, 2818, 8.6, ['Ariadna Gil', 'Ivana Baquero', 'Sergi López'], [], Following a bloody civil war, young Ofelia enters a world of unimaginable cruelty when she moves in with her new stepfather, a tyrannical military officer. Armed with only her imagination, Ofelia discovers a mysterious labyrinth and meets a faun who sets her on a path to saving herself and her ailing mother. But soon, the lines between… Expand, Guillermo del Toro, ['Drama', 'Mystery', 'Thriller', 'Fantasy', 'War'],  R,  118
Some Like It Hot, 1959, United Artists, 19, 98, 181, 8.3, ['Billy Gray', 'George E. Stone', 'George Raft', 'Jack Lemmon', 'Joan Shawlee', 'Joe E. Brown', 'Marilyn Monroe', 'Nehemiah Persoff', "Pat O'Brien", 'Tony Curtis'], [], When two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in., Billy Wilder, ['Comedy', 'Romance'],  Approved,  121
North by Northwest, 1959, Metro-Goldwyn-Mayer (MGM), 16, 98, 198, 8.0, ['Adam Williams', 'Cary Grant', 'Edward Platt', 'Eva Marie Saint', 'James Mason', 'Jessie Royce Landis', 'Josephine Hutchinson', 'Leo G. Carroll', 'Martin Landau', 'Philip Ober'], [], A hapless New York advertising executive is mistaken for a government agent by a group of foreign spies, and is pursued across the country while he looks for a way to survive., Alfred Hitchcock, ['Action', 'Adventure', 'Mystery', 'Thriller'],  TV-G,  136
Hoop Dreams, 1994, Fine Line Features, 19, 98, 84, 8.0, ['Arthur Agee', 'William Gates'], [], Two inner-city Chicago boys with hopes of becoming professional basketball players struggle to become college players., Steve James, ['Drama', 'Sport', 'Documentary'],  PG-13,  170
Rashomon, 1951, Daiei Motion Picture Company, 18, 98, 70, 8.5, ['Daisuke Katô', 'Kichijir', 'Leslie Daniels', 'Machiko Kyô', 'Masayuki Mori', 'Minoru Chiaki', 'Noriko Honma', 'Takashi Shimura', 'Toshirô Mifune'], [], The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter., Akira Kurosawa, ['Drama', 'Mystery', 'Crime'],  Not Rated,  88
All About Eve, 1950, Twentieth Century Fox, 15, 98, 110, 8.7, ['Anne Baxter', 'Barbara Bates', 'Bette Davis', 'Celeste Holm', 'Gary Merrill', 'George Sanders', 'Gregory Ratoff', 'Hugh Marlowe', 'Marilyn Monroe', 'Thelma Ritter'], [], An ingenue insinuates herself into the company of an established but aging stage actress and her circle of theater friends., Joseph L. Mankiewicz, ['Drama'],  TV-PG,  138
