title,year,distributor,release_date,rating_score,summary,director,genres/0,runtime 
The Love Witch,2016,Oscilloscope," November 11, 2016",6.1,"Elaine (Samantha Robinson), a beautiful young witch, is determined to find a man to love her. In her gothic Victorian apartment she makes spells and potions, and then picks up men and seduces them. However, her spells work too well, leaving her with a string of hapless victims. When she finally meets the man of her dreams, her desperation… Expand",Anna Biller,Drama,120
Marjorie Prime,2017,FilmRise," August 18, 2017",7.3,"In the near future, a time of artificial intelligence: 86-year-old Marjorie (Lois Smith)—a jumble of disparate, fading memories—has a handsome new companion (Jon Hamm) who looks like her deceased husband and is programmed to feed the story of her life back to her. What would we remember, and what would we forget, if given the chance?",Michael Almereyda,Sci-Fi,99
Sorry We Missed You,2020,Zeitgeist Films," March 4, 2020",8,"Ricky, a former laborer, and his home-attendant wife Abby—who lost their home in the 2008 financial crash—are desperate to get out of their financial distress. When an opportunity comes up for Ricky to work as his own boss as a delivery driver, they sell their only asset, Abby’s car, to trade it in for a shiny new white van and the dream… Expand",Ken Loach,Drama,101
Sisters with Transistors,2021,,"Release Date (Streaming): April 23, 2021",-1,"Narrated by legendary multimedia artist Laurie Anderson, Lisa Rovner’s Sisters with Transistors showcases the music of and rare interviews with female electronic pioneers Clara Rockmore, Delia Derbyshire, Daphne Oram, Éliane Radigue, Maryanne Amacher, Bebe Barron, Suzanne Ciani, Pauline Oliveros, Laurie Spiegel, and Wendy Carlos.. As… Expand",Lisa Rovner,Music,86
Steve Jobs,2015,Universal Pictures," October 9, 2015",7,"Set backstage at three iconic product launches and ending in 1998 with the unveiling of the iMac, Steve Jobs takes us behind the scenes of the digital revolution to paint an intimate portrait of the brilliant man at its epicenter. [Universal Pictures]",Danny Boyle,Biography,122
Marley,2012,Magnolia Pictures," April 20, 2012",8,"Bob Marley's universal appeal, impact on music history and role as a social and political prophet is both unique and unparalleled. Marley is the definitive life story of the musician, revolutionary, and legend, from his early days to his rise to international superstardom. Made with the support of the Marley family, the film features rare… Expand",Kevin Macdonald,Biography,144
The White Ribbon,2009,Sony Pictures Classics," December 30, 2009",7.9,"A village in Protestant northern Germany. 1913-1914. On the eve of World War I. The story of the children and teenagers of a choir run by the village schoolteacher, and their families: the baron, the steward, the pastor, the doctor, the midwife, the tenant farmers. Strange accidents occur and gradually take on the character of a punishment… Expand",Michael Haneke,Drama,144
The Agronomist,2004,THINKFilm," April 23, 2004",8.4,"This documentary is a profile of Jean Dominique, a Haitian radio journalist and human rights activist who was assassinated in 2000.",Jonathan Demme,Documentary,90
Touching the Void,2004,IFC Films," January 23, 2004",8.6,This documentary follows the climbers Joe Simpson and Simon Yates as they set out to climb the west face of the Siula Grande in the Peruvian Andes.,Kevin Macdonald,Adventure,106
Three Kings,1999,Warner Bros. Pictures," October 1, 1999",8.6,"A small group of adventurous American soldiers (Clooney, Whalberg, Ice Cube, Jonze) in Iraq at the end of the Gulf War is determined to steal a huge cache of gold reputed to be hidden somewhere near their desert base. Finding a map they believe will take them to the gold, the soldiers embark on a journey that leads to unexpected… Expand",David O. Russell,Action,114
Rachel Getting Married,2008,Sony Pictures Classics," October 3, 2008",5.7,"When Kym returns to the Buchman family home for the wedding of her sister Rachel, she brings a long history of personal crisis, family conflict and tragedy along with her. The wedding couple’s abundant party of friends and relations have gathered for a joyful weekend of feasting, music and love, but Kym—with her biting one-liners and flair… Expand",Jonathan Demme,Drama,113
Le Havre,2011,Janus Films," October 21, 2011",7.1,"In this warmhearted portrait of the French harbor city that gives the film its name, fate throws young African refugee Idrissa into the path of Marcel Marx, a well-spoken bohemian who works as a shoe-shiner. With innate optimism and the unwavering support of his community, Marcel stands up to officials doggedly pursuing the boy for… Expand",Aki Kaurismäki,Drama,103
Araby,2018,Grasshopper Film," June 22, 2018",-1,"Andre, a teenager, lives in an industrial town in Brazil near an old aluminum factory. One day, a factory worker, Cristiano, suffers an accident. Asked to go to Cristiano’s house to pick up clothes and documents, Andre stumbles on a notebook, and it’s here that Araby begins — or, rather, transforms. As Andre reads from the journal entries,… Expand",Affonso Uchoa,Drama,97
To Be Heard,2011,ITVS," October 14, 2011",-1,"To Be Heard is the story of three teens from the South Bronx whose struggle to change their lives begins when they start to write poetry. As writing and reciting become vehicles for their expressions of love, friendship, frustration, and hope, we watch these three youngsters emerge as accomplished self-aware artists, who use their… Expand",Amy Sultan,Documentary,86
Sound of Metal,2020,Amazon Studios," November 20, 2020",8,"During a series of adrenaline-fueled one-night gigs, itinerant punk-metal drummer Ruben (Riz Ahmed) begins to experience intermittent hearing loss. When a specialist tells him his condition will rapidly worsen, he thinks his music career — and with it his life — is over. His bandmate and girlfriend Lou (Olivia Cooke) checks the recovering… Expand",Darius Marder,Drama,120
Grey Gardens,1975,Portrait Films," September 27, 1975",8.3,"An old mother and her middle-aged daughter, the aunt and cousin of Jacqueline Kennedy, live their eccentric lives in a filthy, decaying mansion in East Hampton.",Albert Maysles,Drama,95
The Sundowners,1960,Warner Bros.," December 9, 1960",-1,"In Australia's Outback during the early twentieth century, the impoverished Carmody family lives a nomadic life out of their wagon, but the mom and son want to settle, while the dad is against it.",Fred Zinnemann,Adventure,133
Embrace of the Serpent,2016,Oscilloscope Pictures," February 17, 2016",7.8,"Embrace of the Serpent centers on Karamakate, an Amazonian shaman and the last survivor of his people, and the two scientists who, over the course of 40 years, build a friendship with him. The film was inspired by the real-life journals of two explorers (Theodor Koch-Grünberg and Richard Evans Schultes) who traveled through the Colombian… Expand",Ciro Guerra,Adventure,125
Under African Skies,2012,A&E IndieFilms," May 11, 2012",-1,"Paul Simon’s Grammy-winning album Graceland – an irresistible and groundbreaking fusion of American and South African pop music — was an immediate hit when it was released in 1986. It also proved to be a lightning rod for controversy, after South African leaders protested that Simon had broken the cultural boycott of the nation’s… Expand",Joe Berlinger,Biography,108
Sieranevada,2017,," September 3, 2017",6.4,"Three days after the terrorist attack on the offices of Parisian weekly Charlie Hebdo and forty days after the death of his father, Lary, a doctor in his forties is about to spend the Saturday at a family gathering to commemorate the deceased.But the occasion does not go according to expectations. Forced to confront his fears and his past,… Expand",Cristi Puiu,Drama,173
Soft & Quiet,2022,Momentum Pictures," November 4, 2022",7.6,"Emily, an elementary school teacher, organizes an inaugural club meeting of like-minded women. When they all decide to move the meeting to Emily’s house to keep the wine flowing, they stop at the local store to pick up refreshments. At the store, an altercation breaks out between a woman from Emily’s past and the group, leading to a… Expand",Beth de Araújo,Drama,91
Da 5 Bloods,2020,Netflix,"Release Date (Streaming): June 12, 2020",5.7,"Four African-American Vets — Paul (Delroy Lindo), Otis (Clarke Peters), Eddie (Norm Lewis), and Melvin (Isiah Whitlock, Jr.) — return to Vietnam. Searching for the remains of their fallen Squad Leader (Chadwick Boseman) and the promise of buried treasure, our heroes, joined by Paul's concerned son (Jonathan Majors), battle forces of Man and… Expand",Spike Lee,Adventure,154
Side by Side,2012,Tribeca Film," August 17, 2012",8.3,"Join Keanu Reeves on a tour of the past and the future of filmmaking in SIDE BY SIDE. Since the invention of cinema, the standard format for recording moving images has been film. Over the past two decades, a new form of digital filmmaking has emerged, creating a groundbreaking evolution in the medium. Reeves explores the development of… Expand",Christopher Kenneally,Documentary,99
Days of Glory,2006,IFC Films," December 6, 2006",7.3,"1943. The young North Africans had never stepped foot on French soil but because France was at war, Said, Abdelkader, Messaoud and Yassir enlisted in the French Army, along with 130,000 other ""indigenous soldiers,"" to liberate the ""fatherland"" from the Nazi enemy. These heroes that history forgot won battles in Italy, Provence and the… Expand",Rachid Bouchareb,Action,120
My Summer of Love,2005,Focus Features," June 17, 2005",8.7,This film vibrantly charts the emotional and physical hothouse effects that bloon one summer for two young women. [Focus Features],Pawel Pawlikowski,Drama,86
Isle of Dogs,2018,Fox Searchlight Pictures," March 23, 2018",8,"Isle of Dogs tells the story of Atari Kobayashi, 12-year-old ward to corrupt Mayor Kobayashi. When, by Executive Decree, all the canine pets of Megasaki City are exiled to a vast garbage-dump called Trash Island, Atari sets off alone in a miniature Junior-Turbo Prop and flies across the river in search of his bodyguard-dog, Spots. There,… Expand",Wes Anderson,Adventure,101
Derek DelGaudio’s In & Of Itself,2021,Hulu,"Release Date (Streaming): January 22, 2021",7.9,Storyteller and Conceptual Magician Derek DelGaudio attempts to understand the illusory nature of identity and answer the deceptively simple question 'Who am I?',Frank Oz,Documentary,90
Mountain,2018,Madman Entertainment," May 11, 2018",5.5,"Only three centuries ago, setting out to climb a mountain would have been considered close to lunacy. Mountains were places of peril, not beauty, an upper world to be shunned, not sought out. Why do mountains now hold us spellbound, drawing us into their dominion, often at the cost of our lives? From Tibet to Australia, Alaska to Norway… Expand",Jennifer Peedom,Documentary,74
Certain Women,2016,IFC Films," October 14, 2016",6.1,This look at three women striving to forge their own paths amidst the wide-open plains of the American Northwest follows a lawyer (Laura Dern) who finds herself contending with both office sexism and a hostage situation; a wife and mother (Michelle Williams) whose determination to build her dream home puts her at odds with the men in her… Expand,Kelly Reichardt,Drama,107
Approaching the Elephant,2015,Wilder Films," February 20, 2015",-1,"Year one for Lucy, Jiovanni and director Alexander at the Teddy McArdle Free School in Little Falls, New Jersey, where classes are voluntary and rules are created by democratic vote. Wilder is there from the beginning, observing an indelible cast of outspoken young personalities as they form relationships, explore their surroundings and… Expand",Amanda Wilder,Documentary,89
"Flamenco, Flamenco",2014,Dada Films," November 21, 2014",-1,Director Carlos Saura and cinematographer Vittorio Storaro capture 21 flamenco performances.,Carlos Saura,Music,97
Archipelago,2014,Kino Lorber," June 27, 2014",6.6,"Edward (Tom Hiddleston) is preparing to leave for a year of voluntary service in Africa. His mother Patricia (Kate Fahy) and his sister Cynthia (Lydia Leonard) decide to gather the family together, on a remote island, as a farewell trip to say goodbye to Edward. Hired cook Rose (Amy Lloyd) and painting teacher Christopher (Christopher… Expand",Joanna Hogg,Drama,114
Mysteries of Lisbon,2011,Music Box Films," August 5, 2011",5.9,"The core story centers on Joao, the bastard child of an ill-fated romance between two members of the aristocracy who are forbidden to marry, and his quest to discover the truth of his parentage. But this is just the start of an engrossing tale that follows a multitude of characters whose fates conjoin, separate and then rejoin again over… Expand",Raoul Ruiz,Drama,272
Mademoiselle Chambon,2010,Lorber Films," May 28, 2010",7.1,"Mademoiselle Chambon is an elegant, moving tale of an unexpected romance between a married man and his son’s homeroom teacher — and their attempt to keep their desires from turning into a full-blown affair. [Lorber Films]",Stéphane Brizé,Drama,101
Burma VJ: Reporter i et lukket land,2009,Home Box Office (HBO)," May 20, 2009",8.2,"While 100,000 people (including 1,000s of Buddhist monks) took to the streets to protest the country's repressive regime that has held them hostage for over 40 years, foreign news crews were banned to enter and the Internet was shut down. The Democratic Voice of Burma, a collective of 30 anonymous and underground video journalists (VJs)… Expand",Anders Østergaard,History,84
The Return,2004,Kino International," February 6, 2004",8.2,In contemporary Russia young brothers Vanya and Andrey have grown a deep attachment to each other to make up for their fatherless childhood. They are shocked to discover their father has returned after a twelve year absence. With their mother's uneasy blessing Vanya and Andrey set out on what they believe will be a fishing vacation with… Expand,Andrei Zvyagintsev,Drama,105
Read My Lips,2002,Magnolia Pictures," July 5, 2002",7,"This French thriller is an absorbing character study of two lonely outsiders (a deaf secretary and an ex-con), who gradually recognize their mutual dependency.",Jacques Audiard,Drama,115
Hands on a Hardbody: The Documentary,1998,Ideal Enterprises," July 10, 1998",-1,"Twenty-four contestants compete in an endurance/sleep deprivation contest in order to win a brand new Nissan Hardbody truck. The last person to remain standing with his or her hand on the truck wins. An absurd marketing gimmick at first glance, the contest proves to be much more...",S.R. Bindler,Documentary,98
Get Shorty,1995,Metro-Goldwyn-Mayer (MGM)," October 25, 1995",8.5,Chili Palmer (John Travolta) is a Miami loan shark who's sent to Los Angeles to collect on a gambling debt from film producer Harry Zimm (Gene Hackman). Chili soon discovers that loansharking was the perfect training ground for making movies...though you have to be ruthless to make it in Hollywood. [MGM],Barry Sonnenfeld,Thriller,105
My Life as a Dog,1987,Skouras Pictures," May 1, 1987",8,"A boy and his brother don't get along well. In order to let their ill mother rest, they're separated and sent each one with their relatives.",Lasse Hallstrom,Drama,101
Frozen River,2008,Sony Pictures Classics," August 1, 2008",7.9,"Frozen River is the story of Ray Eddy, an upstate New York trailer mom who is lured into the world of illegal immigrant smuggling when she meets a Mohawk girl who lives on a reservation that straddles the US-Canadian border. Broke after her husband takes off with the down payment for their new doublewide, Ray reluctantly teams up with Lila,
… Expand",Courtney Hunt,Drama,97
The Killer,1990,Circle Films," September 1, 1990",8,"A disillusioned assassin (Chow Yun-Fat) accepts one last hit in hopes of using his earnings to restore vision to a singer he accidentally blinded, only to be double-crossed by his boss.",John Woo,Action,111
Drugstore Cowboy,1989,Avenue Pictures Productions," October 6, 1989",8.5,A group of heroin addicts lead by Bob (Dillon) rob drugstores to continue their addictions.,Gus Van Sant,Drama,102
Poly Styrene: I Am a Cliché,2022,Modern Films,"Release Date (Streaming): February 2, 2022",-1,The death of punk icon and X-Ray Spex front-woman Poly Styrene sends her daughter on a journey through her mother's archives in this intimate documentary.,Celeste Bell,Biography,96
Heal the Living,2017,Cohen Media Group," April 14, 2017",6.8,Heal the Living follows three seemingly unrelated stories that carefully weave together: a French teenager and his friends on a surfing road trip that leads to tragedy; a woman in another town who learns that her weak heart is beginning to fail and action must be taken; and two teams of doctors and medical experts who struggle through their… Expand,Katell Quillévéré,Drama,103
Love Is Strange,2014,Sony Pictures Classics," August 22, 2014",7.1,"Ben (John Lithgow) and George (Alfred Molina) take advantage of New York's new marriage laws and tie the knot after being together for 39 years. Unfortunately, the Catholic school where George teaches does not approve, and they reluctantly fire him, forcing the couple to split up and stay with friends while they sell their apartment and… Expand",Ira Sachs,Drama,94
Navalny,2022,CNN," April 11, 2022",6.8,"In August 2020, Alexei Navalny survived an assassination attempt by poisoning with a lethal nerve agent. During his months-long recovery he, the investigative journalism outlet Bellingcat, and other international news organizations make shocking discoveries about the attempt on his life.",Daniel Roher,Thriller,98
The Girl Without Hands,2017,GKIDS," July 21, 2017",7,"In hard times, a miller sells his daughter to the Devil. Protected by her purity, she escapes from the Devil who, in revenge, deprives her of her hands. So begins her long journey towards the light... but in spite of her resilience and the new protection of a handsome prince's estate, the Devil devises a plan of his own.",Sébastien Laudenbach,Animation,76
Blow-Up,1966,Metro-Goldwyn-Mayer," December 18, 1966",7.7,A mod London photographer finds something very suspicious in the shots he has taken of a mysterious beauty in a desolate park.,Michelangelo Antonioni,Drama,111
Tess,1980,Columbia Pictures," December 12, 1980",8.5,"A young strong-willed peasant girl, becomes the affection of two men, in the end tragically falling into the arms of one.",Roman Polanski,Drama,186
Return to Seoul,2022,Sony Pictures Classics," December 2, 2022",-1,"A twenty-five-year-old French woman returns to Korea - the country she was born in before being adopted by a French couple - for the very first time. She decides to track down her biological parents, but her journey takes a surprising turn.",Davy Chou,Drama,115
The Twilight Samurai,2004,," April 23, 2004",8.4,"A family drama set in the late nineteenth century Japan, as the feudal Shogun period was giving way to the Meiji Restoration. [Empire Pictures]",Yôji Yamada,Drama,129
Concert for George,2003,ArenaPlex LLC," October 3, 2003",7.1,"On the 29th of November 2002, one year to the day that George Harrison left us, his closest friends gathered at the Royal Albert Hall to celebrate his life in the only way they knew how - by playing his music.",David Leland,Music,146
Late Marriage,2002,Magnolia Pictures," May 17, 2002",6.7,"Set within the Georgian émigré community of Tel Aviv, Late Marriage is a sexy and biting comedy of manners that investigates what happens when human beings get stuck between the rock of true love and the hard place of family tradition. (Magnolia Pictures)",Dover Koshashvili,Drama,102
One Day in September,2000,Sony Pictures Classics," November 17, 2000",5.9,"This documentary examines the events surrounding the 1972 Olympics in Munich, Germany, where eleven Israeli athletes were kidnapped and massacred by Palestinian terrorists.",Kevin Macdonald,History,94
Requiem,2006,IFC First Take," October 20, 2006",7.9,"Inspired by the same events that were previously dramatized in ""The Exorcism of Emily Rose,"" this film portrays a first-year university student whose bout with epilepsy leads to a tragic exorcism.",Hans-Christian Schmid,Drama,89
Captain Phillips,2013,Columbia Pictures," October 11, 2013",8.1,"The true story of Captain Richard Phillips and the 2009 hijacking by Somali pirates of the US-flagged MV Maersk Alabama, the first American cargo ship to be hijacked in two hundred years.",Paul Greengrass,Action,134
The Climb,2020,Sony Pictures Classics," November 13, 2020",7.2,"Kyle and Mike are best friends who share a close bond — until Mike sleeps with Kyle's fiancée. The Climb is about a tumultuous but enduring relationship between two men across many years of laughter, heartbreak and rage. It is also the story of real-life best friends who turn their profound connection into a rich, humane and frequently… Expand",Michael Angelo Covino,Drama,98
A Hero,2022,A Contracorriente Films," January 7, 2022",7.8,"Rahim is in jail for a debt he hasn't been able to pay. During a two-day leave, he tries to convince his creditor to withdraw his complaint in exchange for paying back part of the debt. Rahim is then confronted with a crisis he would never have imagined.",Asghar Farhadi,Drama,127
The Northman,2022,Focus Features," April 22, 2022",7.3,"From visionary director Robert Eggers comes The Northman, an action-filled epic that follows a young Viking prince on his quest to avenge his father’s murder. With an all-star cast that includes Alexander Skarsgård, Nicole Kidman, Claes Bang, Anya Taylor-Joy, Ethan Hawke, Björk, and Willem Dafoe.",Robert Eggers,Action,136
Neruda,2016,"Orchard, The"," December 16, 2016",7.1,"Beloved poet Pablo Neruda (Luis Gnecco) is also the most famous communist in post-WWII Chile. When the political tides shift, he is forced underground, with a perseverant police inspector (Gael García Bernal) hot on his trail. Meanwhile, in Europe, the legend of the poet hounded by the policeman grows, and artists led by Pablo Picasso… Expand",Pablo Larraín,Biography,107
Blancanieves,2013,Cohen Media Group," March 29, 2013",7.8,"Once upon a time there was a little girl who had never known her mother. She learned the art of her father, a famous bullfighter, but was hated by her evil stepmother. One day she ran away with a troupe of dwarves, and became a legend. This tribute to silent films is set in southern Spain in the 1920s. [Cohen Media Group]",Pablo Berger,Drama,104
Once Upon a Time in Anatolia,2012,Cinema Guild," January 4, 2012",8.1,"Life in a small town is akin to journeying in the middle of the steppes: the sense that ""something new and different"" will spring up behind every hill, but always unerringly similar, tapering, vanishing or lingering monotonous roads. (NBC Film)",Nuri Bilge Ceylan,Drama,150
John McEnroe: In the Realm of Perfection,2018,Oscilloscope Laboratories," August 22, 2018",6.1,"John McEnroe: In the Realm of Perfection revisits the rich bounty of 16-mm-shot footage of the left-handed tennis star John McEnroe, at the time the world’s top-ranked player, as he competes in the French Open at Paris’s Roland Garros Stadium in 1984. Close-ups and slow motion sequences of McEnroe competing, as well as instances of his… Expand",Julien Faraut,Sport,95
3 Godfathers,1949,Metro-Goldwyn-Mayer (MGM)," January 13, 1949",-1,Three outlaws on the run find a dying woman in the desert who gives birth to a baby. The mother entrusts the care of the child to the three men.,John Ford,Drama,106
Stranger by the Lake,2014,Strand Releasing," January 24, 2014",6.5,"Frank (Pierre Deladonchamps) spends his summer days hopelessly searching for companionship at a popular cruising spot on the shores of a lake in rural France. One day, he meets Michel (Christophe Paou), an attractive yet darkly mysterious man and falls blindly in love. When a death occurs, Frank and Michel become the primary suspects but… Expand",Alain Guiraudie,Drama,97
Ten Canoes,2007,Palm Pictures," June 1, 2007",6.4,"The first feature film to be shot entirely in Aboriginal language (predominantly Ganalbingu), Ten Canoes is set both in the past (centuries ago, before the coming of white people to Australia) and in the Ganalbingu mythical past.",Peter Djigirr,Adventure,90
Oliver Sacks: His Own Life,2020,Zeitgeist Films," September 23, 2020",-1,"Oliver Sacks: His Own Life explores the life and work of the legendary neurologist and storyteller, as he shares intimate details of his battles with drug addiction, homophobia, and a medical establishment that accepted his work only decades after the fact. Sacks was a fearless explorer of unknown mental worlds who helped redefine our… Expand",Ric Burns,Documentary,111
Gilles' Wife,2005,Cinema Guild," November 16, 2005",7.6,"Set in the 1930's, Gilles' Wife is a haunting tale of love and betrayal in a small mining town on the outskirts of France. [Cinema Guild]",Frédéric Fonteyne,Drama,103
The Maid,2009,Elephant Eye Films," October 16, 2009",8.4,"The Maid is an insightful comedic drama about family, class and self-discovery. (Elephant Eye Films)",Sebastián Silva,Drama,95
Cowards Bend the Knee or The Blue Hands,2004,Zeitgeist Films," August 11, 2004",5.2,"A 10-part penny dreadful, a peepshow melodrama, loosely conceived around the filmmaker's autobiography, with an aesthetic that is one part ""Vampire"" serial, one part psycho fever-dream. (Film Forum)",Guy Maddin,Drama,60
Merci pour le Chocolat,2002,Empire Pictures," July 31, 2002",5.4,"A mystery thriller set on the lakeside of Lausanne, Switzerland.",Claude Chabrol,Drama,99
The Filth and the Fury,2000,Fine Line Features," April 7, 2000",7,"An English documentary by Julien Temple which details the short but tempestuous life of the punk rock band the Sex Pistols from the perspective of the band members themselves, unlike the 20-year-old Temple film ""The Great Rock 'n' Roll Swindle"" which focuses instead on the perspective of Malcolm McLaren, the band's controversial manager.",Julien Temple,Biography,108
A Simple Plan,1998,Paramount Pictures," December 11, 1998",7.6,"Captivated by the lure of sudden wealth, the quiet rural lives of two brothers (Paxton, Thornton) erupt into conflicts of greed, paranoia and distrust when over four million dollars in cash is discovered at the remote site of a downed small airplane. (Paramount Pictures)",Sam Raimi,Drama,121
"Sick: The Life & Death of Bob Flanagan, Supermasochist",1997,Haut et Court," November 7, 1997",-1,"Documentary about writer and performance artist Bob Flanagan who died at 43 of cystic fibrosis. His life was indicated by pain from the beginning and he started to develop sadomasochistic practices, which he developed finally into performances.",Kirby Dick,Documentary,90
Eastern Promises,2007,Focus Features," September 14, 2007",7.1,The mysterious and charismatic Russian-born Nikolai Luzhin is a driver for one of London's most notorious organized crime families of Eastern European origin. The family is part of the Vory V Zakone criminal brotherhood. Headed by Semyon--whose courtly charm as the welcoming proprietor of the plush Trans-Siberian restaurant impeccably masks… Expand,David Cronenberg,Drama,100
Hold Your Fire,2022,IFC Films," May 20, 2022",-1,"Brooklyn, 1973. When Shu’aib Raheem tried to steal guns for self-defense, it sparked the longest hostage siege in NYPD history. NYPD psychologist Harvey Schlossberg fought to reform police use of violence and save lives by using words, not guns.",Stefan Forbes,Documentary,93
Sicario,2015,Lionsgate," September 18, 2015",8.1,"In Mexico, Sicario means hitman. In the lawless border area stretching between the U.S. and Mexico, an idealistic FBI agent (Emily Blunt) is enlisted by an elite government task force official (Josh Brolin) to aid in the escalating war against drugs. Led by an enigmatic consultant with a questionable past (Benicio Del Toro), the team sets… Expand",Denis Villeneuve,Action,121
The Long Good Friday,1982,HandMade Films," April 2, 1982",-1,"An up-and-coming gangster is tested by the insurgence of an unknown, very powerful threat.",John Mackenzie,Drama,114
Bacurau,2020,Kino Lorber," March 6, 2020",7.8,"A few years from now... Bacurau, a small village in the Brazilian sertão, mourns the loss of its matriarch, Carmelita, who lived to be 94. Days later, its inhabitants notice that their village has literally vanished from most maps and a UFO-shaped drone starts flying overhead. There are forces that want to expel them from their homes.",Juliano Dornelles,Action,131
Hamlet,1948,General Film Distributors (GFD)," September 29, 1948",-1,"Prince Hamlet struggles over whether or not he should kill his uncle, whom he suspects has murdered his father, the former king.",Laurence Olivier,Drama,154
George Washington,2000,Cowboy Booking International," October 27, 2000",7.4,"Set in the landscape of a rural Southern town, George Washington is a stunning portrait of how a group of young kids come to grips with a hard world of choices and consequences. During an innocent game in an abandoned amusement park, a member of the group dies. (Cowboy Booking International)",David Gordon Green,Drama,89
Our Time Will Come,2017,China Lion Film Distribution," July 7, 2017",6.9,"Based on the true story of Fang Gu (Zhou Xun), a school teacher, and the legendary, JinJin “Blackie” Lau (Eddie Peng), Our Time Will Come recounts the exploits of the Dongjiang during World War II. Tasked with fighting against the Japanese occupation of Hong Kong, this ragtag group of guerrillas recruits Gu, all against the wishes of her… Expand",Ann Hui,Drama,130
The Honeymoon Killers,1970,Cinerama Releasing," February 4, 1970",-1,"An obese, embittered nurse doesn't mind if her toupee-wearing boyfriend romances and fleeces other women, as long as he takes her along on his con jobs.",Donald Volkman,Drama,107
Stranded: I've Come from a Plane That Crashed on the Mountains,2008,Zeitgeist Films," October 22, 2008",7.6,"It is one of the most astonishing and inspiring survival tales of all time. On October 13, 1972, a young rugby team from Montevideo, Uruguay, boarded a plane for a match in Chile—and then vanished into thin air. Two days before Christmas, 16 of the 45 passengers miraculously resurfaced. They had managed to survive for 72 days after their… Expand",Gonzalo Arijon,Documentary,130
A Thousand Cuts,2020,PBS Distribution,"Release Date (Streaming): August 7, 2020",5.2,"Nowhere is the worldwide erosion of democracy, fueled by social media disinformation campaigns, more starkly evident than in the authoritarian regime of Philippine President Rodrigo Duterte. Journalist Maria Ressa places the tools of the free press—and her freedom—on the line in defense of truth and democracy.",Ramona S. Diaz,Documentary,110
The Hate U Give,2018,Twentieth Century Fox," October 5, 2018",6.8,"Starr Carter is constantly switching between two worlds: the poor, mostly black, neighborhood where she lives and the rich, mostly white, prep school she attends. The uneasy balance between these worlds is shattered when Starr witnesses the fatal shooting of her childhood best friend Khalil at the hands of a police officer. Now, facing… Expand",George Tillman Jr,Drama,133
No Home Movie,2016,Icarus Films," April 1, 2016",7,"Chantal Akerman films her mother, an old woman of Polish origin who is short lifetime, in her apartment in Brussels. For two hours, we will see them eating, chatting and sharing memories, sometimes accompanied by Sylvaine, Chantal's sister. Also, and to show how small the world has become, Chantal remains in contact with her mother at… Expand",Chantal Akerman,Documentary,115
Make Up,2020,," November 13, 2020",3.5,"On a remote holiday park in Cornwall, a young woman is drawn into a mysterious obsession when she suspects her boyfriend has cheated on her.",Claire Oakley,Drama,86
At Berkeley,2013,Zipporah Films," November 8, 2013",7.8,"The University of California at Berkeley, the oldest and most prestigious member of a ten campus public education system, is also one of the finest research and teaching facilities in the world. The film, At Berkeley, shows the major aspects of university life, its intellectual and social mission, its obligation to the state and to larger… Expand",Frederick Wiseman,Documentary,244
Blade Runner 2049,2017,Warner Bros. Pictures," October 6, 2017",8.3,"Thirty years after the events of the first film, a new blade runner, LAPD Officer K (Ryan Gosling), unearths a long-buried secret that has the potential to plunge what’s left of society into chaos. K’s discovery leads him on a quest to find Rick Deckard (Harrison Ford), a former LAPD blade runner who has been missing for 30 years.",Denis Villeneuve,Sci-Fi,164
Step,2017,Fox Searchlight Pictures," August 4, 2017",8.6,"Step documents the senior year of a girls’ high-school step dance team against the background of inner-city Baltimore. As each one tries to become the first in their families to attend college, the girls strive to make their dancing a success against the backdrop of social unrest in the troubled city.",Amanda Lipitz,Documentary,84
Experimenter,2015,Magnolia Pictures," October 16, 2015",7.5,"In 1961, social psychologist Stanley Milgram (Peter Sarsgaard) conducted the ""obedience experiments"" at Yale University. The experiments observed the responses of ordinary people asked to send harmful electrical shocks to a stranger. Despite pleadings from the person they were shocking, 65 percent of subjects obeyed commands from a… Expand",Michael Almereyda,Biography,98
Eden,2015,," June 19, 2015",6.5,"Paul (Félix de Givry) is a teenager in the underground scene of early-nineties Paris. Rave parties dominate that culture, but he's drawn to the more soulful rhythms of Chicago's garage house. He forms a DJ collective named Cheers (as, in a parallel storyline, two of his friends form one called Daft Punk, who float throughout the movie), and… Expand",Mia Hansen-Løve,Drama,131
The Revolution Will Not Be Televised,2003,Vitagraph Films," November 5, 2003",6.5,"On April 12th 2002 the world awoke to the news that Venezuelan President Hugo Chavez had been removed from office and had been replaced by a new interim government. What had in fact taken place was the first Latin American coup of the 21st century, and the world's first media coup. (Vitagraph Films)",Donnacha O'Briain,Documentary,74
A History of Violence,2005,New Line Cinema," September 23, 2005",7.4,"Tom Stall is living a happy and quiet life with his lawyer wife and their two children in the small town of Millbrook, Indiana, until one night their idyllic existence is shattered when Tom foils a vicious attempted robbery in his diner. (New Line Cinema)",David Cronenberg,Drama,96
A Mighty Wind,2003,Warner Bros. Pictures," April 16, 2003",7.2,"In the tradition of ""This is Spinal Tap,"" ""Waiting for Guffman,"" and ""Best in Show,"" this mockumentary looks at the world of folk music.",Christopher Guest,Comedy,91
