title,year,distributor,release_date,rating_score,summary,director,genres/0,runtime
"Quo Vadis, Aida?",2021,Cinéart," March 5, 2021",8.0,"Bosnia, July 11th 1995. Aida is a translator for the United Nations in the small town of Srebrenica. When the Serbian army takes over the town, her family is among the thousands of citizens looking for shelter in the UN camp. As an insider to the negotiations Aida has access to crucial information that she needs to interpret. What is at… Expand",Jasmila Zbanic,Drama, 101
Psycho,1960,Paramount Pictures," September 8, 1960",8.8,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man, Norman Bates (Anthony Perkins) under the domination of his mother.",Alfred Hitchcock,Mystery, 109
Gone with the Wind,1940,Metro-Goldwyn-Mayer (MGM)," January 17, 1940",8.3,"A Southern belle struggles with the devastation of the Civil War and Reconstruction. This classic won 8 Academy Awards, including Best Picture.",George Cukor,Drama, 238
"4 Months, 3 Weeks and 2 Days",2008,IFC Films," January 23, 2008",7.9,"During the final days of communism in Romania, two college roommates Otilia and Gabita are busy preparing for a night away. But rather than planning for a holiday, they are making arrangements for Gabita's illegal abortion and unwittingly, both find themselves burrowing deep down a rabbit hole of unexpected revelations. [IFC Films]",Cristian Mungiu,Drama, 113
Battleship Potemkin,1926,Goskino," December 5, 1926",8.4,"In the midst of the Russian Revolution of 1905, the crew of the battleship Potemkin mutiny against the brutal, tyrannical regime of the vessel's officers. The resulting street demonstration in Odessa brings on a police massacre.",Sergei M. Eisenstein,Drama, 75
A Streetcar Named Desire,1951,Warner Bros.," September 19, 1951",8.2,Disturbed Blanche DuBois (Vivien Leigh) moves in with her sister in New Orleans and is tormented by her brutish brother-in-law (Marlon Brando) while her reality crumbles around her.,Elia Kazan,Drama, 122
The Maltese Falcon,1941,Warner Bros.," October 18, 1941",7.9,"A private detective (Humphrey Bogart) takes on a case that involves him with three eccentric criminals, a gorgeous liar, and their quest for a priceless statuette.",John Huston,Mystery, 100
American Graffiti,1973,Universal Pictures," August 11, 1973",7.4,A couple of high school grads spend one final night cruising the strip with their buddies before they go off to college.,George Lucas,Drama, 110
Dumbo,1941,RKO Radio Pictures," October 31, 1941",7.7,"This simple animated tale is set in a circus and spotlights a baby elephant, Dumbo, who is mocked and ridiculed because his ears are too big, only to be assisted by a mouse to achieve his full potential.",Ben Sharpsteen,Drama, 64
Roma,2018,Netflix," November 21, 2018",7.6,"Roma follows Cleo (Yalitza Aparicio), a young domestic worker for a family in the middle-class neighborhood of Roma in Mexico City. Delivering an artful love letter to the women who raised him, Cuarón draws on his own childhood to create a vivid and emotional portrait of domestic strife and social hierarchy amidst political turmoil of the… Expand",Alfonso Cuarón,Drama, 135
Parasite,2019,CJ Entertainment," October 11, 2019",8.7,"Meet the Park Family: the picture of aspirational wealth. And the Kim Family, rich in street smarts but not much else. Be it chance or fate, these two houses are brought together and the Kims sense a golden opportunity. Masterminded by college-aged Ki-woo, the Kim children expediently install themselves as tutor and art therapist, to the… Expand",Joon-ho Bong,Drama, 132
Ran,1985,Orion Classics," December 20, 1985",8.4,"An adaptation of William Shakespeare’s King Lear, Ran considers the disastrous consequences of Lord Hidetora Ichimonji’s (Tatsuya Nakadai) decision to split his kingdom among his three sons.",Akira Kurosawa,Action, 162
"Summer of Soul (...Or, When the Revolution Could Not Be Televised)",2021,Searchlight Pictures," July 2, 2021",7.2,"In 1969, during the same summer as Woodstock, a different music festival took place 100 miles away. More than 300,000 people attended the summer concert series known as the Harlem Cultural Festival. It was filmed, but after that summer, the footage sat in a basement for 50 years. It has never been seen. Until now. [Sundance]",Ahmir-Khalib Thompson,Documentary, 117
The Shop Around the Corner,1940,Metro-Goldwyn-Mayer (MGM)," January 12, 1940",7.1,"Two employees at a gift shop can barely stand each other, without realizing that they are falling in love through the post as each other's anonymous pen pal.",Ernst Lubitsch,Drama, 99
12 Angry Men,1957,United Artists," April 1, 1957",8.8,"12 Angry Men, by Sidney Lumet, is a behind-closed-doors look at the American legal system. This iconic adaptation of Reginald Rose’s teleplay stars Henry Fonda as the dissenting member on a jury of white men ready to pass judgment on a Puerto Rican teenager charged with murdering his father. The result is a saga of epic proportions that… Expand",Sidney Lumet,Drama, 96
Rosemary's Baby,1968,Paramount Pictures," June 12, 1968",8.3,"A young couple move into an apartment, only to be surrounded by peculiar neighbors and occurrences. When the wife becomes mysteriously pregnant, paranoia over the safety of her unborn child begins to control her life.",Roman Polanski,Drama, 137
